,"FI","HLI","Halli","Halli","08","--3-----","RQ","1307",,"6152N 02450E",
,"FI","HLJ","Harviala","Harviala",,"--3-----","RL","1301",,"6057N 02435E",
,"FI","HLK","Halikko","Halikko","19","--3-----","RL","1307",,,
,"FI","HLL","Hällnäs","Hallnas","12","--3-----","RL","1307",,"6315N 02214E",
,"FI","HLS","Halsua","Halsua","14","--3-----","AA","2007",,"6327N 02410E",
,"FI","HMA","Himankakylä","Himankakyla","07","1-3-----","RL","1307",,"6410N 02342E",
,"FI","HMN","Hamina (Fredrikshamn)","Hamina (Fredrikshamn)","09","1-------","AI","1307","QVZ","6034N 02712E",
,"FI","HMN","Fredrikshamn (Hamina)","Fredrikshamn (Hamina)","09","1-------","AI","1307","QVZ","6034N 02712E",
,"FI","HMY","Tavastehus (Hämeenlinna)","Tavastehus (Hameenlinna)","06","--3-----","AC","1307","QVM",,
,"FI","HMY","Hämeenlinna (Tavastehus)","Hameenlinna (Tavastehus)","06","--3-----","AC","1307","QVM",,
,"FI","HOG","Högsåra","Hogsara","19","1-3-----","RL","1307",,"5957N 02222E",
,"FI","HOJ","Holjakka","Holjakka","13","--3-----","RL","1307",,"6329N 02926E",
,"FI","HOL","Hollola","Hollola","16","--3-----","AF","1607",,"6103N 02526E",
,"FI","HON","Honkakoski","Honkakoski","19","--3-----","AA","1907",,"6145N 02208E",
,"FI","HOO","Horo","Horo","14","--3-----","RL","2001",,"6236N 02138E",
,"FI","HOU","Houtskari (Houtskär)","Houtskari (Houtskar)","19","1-------","AI","1401",,"6013N 02123E",
,"FI","HOU","Houtskär (Houtskari)","Houtskar (Houtskari)","19","1-------","AI","1401",,"6013N 02123E",
,"FI","HPF","Huutjarvi","Huutjarvi","09","--3-----","AA","1601",,"6028N 02645E",
,"FI","HPS","Haapavesi","Haapavesi","14","--3-----","RL","1401",,"6408N 02522E",
,"FI","HRJ","Harjavalta","Harjavalta","17","--3-----","AF","1307",,,
,"FI","HRM","Härmä","Harma","14","--3-----","RL","1807",,"6314N 02252E",
,"FI","HRS","Hyrynsalmi","Hyrynsalmi","13","--3-----","AA","2007",,"6440N 02829E",
,"FI","HRT","Hartola/Kymenlaakso","Hartola/Kymenlaakso","09","--3-----","RL","1401",,"6109N 02631E",
,"FI","HTA","Pyhtää (Pyttis)","Pyhtaa (Pyttis)","09","--3-----","RL","1401",,"6029N 02632E",
,"FI","HTL","Hartola","Hartola",,"--3-----","RL","1301",,"6109N 02631E",
,"FI","HTO","Hartola/Paijat-Hame","Hartola/Paijat-Hame","16","--3-----","RL","1401",,"6135N 02601E",
,"FI","HUM","Humppila","Humppila","06","-23--6--","RL","1307",,"6056N 02322E",
,"FI","HUN","Huittinen","Huittinen","17","--3-----","AF","1401",,"6111N 02242E",
,"FI","HVA","Hervanta","Hervanta","11","--3-----","RL","1307",,"6125N 02352E",
,"FI","HVH","Hirvihaara","Hirvihaara","18","--3-----","RL","1307",,"6037N 02514E",
,"FI","HVM","Hirvensalmi","Hirvensalmi",,"1-3-----","RL","1301",,"6138N 02648E",
,"FI","HYR","Hyrylä","Hyryla","18","--3-----","AF","1401",,,
,"FI","HYV","Hyvinge (Hyvinkää)","Hyvinge (Hyvinkaa)","18","--3-----","AF","1401",,"6038N 02452E",
,"FI","HYV","Hyvinkää (Hyvinge)","Hyvinkaa (Hyvinge)","18","--3-----","AF","1401",,"6038N 02452E",
,"FI","IGY","Ingermaninkylä (Ingermansby)","Ingermaninkyla (Ingermansby)","18","--3-----","RL","1401",,"6037N 02609E",
,"FI","IHO","Ihode","Ihode","19","--3-----","AA","1907",,"6059N 02136E",
,"FI","IIO","Ii","Ii","14","--3-----","RL","1501",,"6519N 02522E",
,"FI","IIS","Iisalmi (Idensalmi)","Iisalmi (Idensalmi)","15","123-----","AC","1307",,"6333N 02711E",
,"FI","IIS","Idensalmi (Iisalmi)","Idensalmi (Iisalmi)","15","123-----","AC","1307",,"6333N 02711E",
,"FI","IIT","Iittala","Iittala","06","--3-----","AA","1607",,"6107N 02410E",
,"FI","IIV","Iisvesi","Iisvesi","15","--3-----","RL","1307",,"6240N 02702E",
,"FI","IJK","Ilmajoki","Ilmajoki","03","--3-----","AF","1401",,"6244N 02234E",
,"FI","IKA","Ikaalinen (Ikalis)","Ikaalinen (Ikalis)","11","--3-----","AF","1307",,"6146N 02304E",
,"FI","IKK","Ikkala","Ikkala","19","--3-----","RL","1307",,"6029N 02407E",
