,"TH","PAI","Pai","Pai","58","--3-----","RQ","0901",,"1919N 09827E",
,"TH","PAN","Pattani Apt","Pattani Apt","94","---4----","AA","1601",,"0647N 10109E",
,"TH","PAT","Pat Bangkok","Pat Bangkok",,"--3-----","RL","0201",,"1342N 10034E",
,"TH","PBM","Phibun Mangsahan","Phibun Mangsahan","34","--3-----","AA","1801",,"1515N 10514E",
,"TH","PBR","Pran Buri","Pran Buri","77","--3-----","RL","1207",,"1223N 09955E",
,"TH","PCH","Pak Chong","Pak Chong",,"-23-----","RL","0607",,"1441N 10125E",
,"TH","PDB","Padang Besar, Thailand","Padang Besar, Thailand","90","-23-----","AA","1801",,"0639N 10019E",
,"TH","PDG","Pluak Daeng","Pluak Daeng","21","--3-----","RL","0901",,"1258N 10113E",
,"TH","PHA","Phang-Nga","Phang-Nga","82","1-------","AA","2107",,"0824N 09831E",
,"TH","PHE","Phet Buri","Phet Buri","76","-23-----","RL","0307",,"1306N 09957E",
,"TH","PHI","Phichit","Phichit","66","--3-----","RQ","2107",,"1626N 10020E",
,"TH","PHK","Phuket Customs House","Phuket Customs House","83","--3-----","AA","1807",,"0752N 09824E",
,"TH","PHS","Phitsanulok Apt","Phitsanulok Apt","65","---4----","AA","1601",,"1647N 10017E",
,"TH","PHT","Phan Thong","Phan Thong","20","--3-----","RL","0307",,"1328N 10106E",
,"TH","PHY","Phetchabun","Phetchabun","67","---4----","AA","2107",,"1641N 10112E",
,"TH","PKB","Pakbara","Pakbara","91","1-------","AA","2107",,"0652N 09943E",
,"TH","PKK","Prachuap Khiri Khan","Prachuap Khiri Khan","77","--3-----","AA","1801",,"1149N 09948E",
,"TH","PKN","Pak Nam","Pak Nam","11","1-------","AA","2107",,"1336N 10034E",
,"TH","PKP","Pak Phanang","Pak Phanang","80","1-------","AA","2107",,"0912N 09953E",
,"TH","PKR","Pak Kret","Pak Kret","12","--3-----","RL","0307",,"1355N 10030E",
,"TH","PKT","Phuket Port","Phuket Port","83","1-------","AA","1807",,"0749N 09824E",
,"TH","PLA","Platong","Platong",,"1-------","RQ","0907",,"0939N 10128E",
,"TH","PNA","Phra Nakhon si Ayutthaya","Phra Nakhon si Ayutthaya",,"--3-----","RQ","9901",,,
,"TH","PNB","Prachin Buri","Prachin Buri","25","--3-----","RQ","2107",,"1403N 10122E",
,"TH","PPA","Phra Pradaeng","Phra Pradaeng","11","1-3-----","AA","2107",,"1337N 10033E",
,"TH","PPC","Prachuap Port","Prachuap Port","77","1-------","AA","1607",,"1112N 09935E",
,"TH","PRH","Phrae Apt","Phrae Apt","54","---4----","AA","1601",,"1808N 10010E",
,"TH","PTG","Phatthalung","Phatthalung","93","--3-----","RQ","2107",,"0737N 10004E",
,"TH","PTH","Pathum Thani","Pathum Thani","13","--3-----","RL","0401",,"1401N 10032E",
,"TH","PTM","Phutthamonthon Truck Terminal","Phutthamonthon Truck Terminal","73","--3-----","AA","1807",,"1347N 10017E",
,"TH","PTN","Pattani","Pattani","94","1-------","AA","1601",,"0653N 10116E",
,"TH","PTR","Photharam","Photharam","70","123-----","RL","0501",,"1341N 09951E",
,"TH","PYO","Phayao","Phayao","56","--3-----","RQ","2107",,"1910N 09954E",
,"TH","PYT","Phahon Yothin Customs House","Phahon Yothin Customs House","10","12------","AA","1601",,"1348N 10032E",
,"TH","PYX","Pattaya","Pattaya","20","-234----","RQ","1807",,"1256N 10053E",
,"TH","PYY","Pai Apt","Pai Apt","58","---4----","AA","1601",,"1922N 09826E",
,"TH","RAT","Ratchaburi","Ratchaburi","70","-23-----","RL","0501",,"1332N 09948E",
,"TH","RKL","Rom Klao Truck Terminal","Rom Klao Truck Terminal","10","--3-----","AA","1807",,"1344N 10046E",
,"TH","RNN","Ranong","Ranong","85","1-------","AA","1601",,"0958N 09838E",
,"TH","ROI","Roi Et Apt","Roi Et Apt","45","---4----","AA","1601",,"1607N 10346E",
,"TH","RYG","Rayong","Rayong",,"--3-----","RL","0101",,,
,"TH","SAM","Samphanthawong","Samphanthawong",,"-23-----","RL","0307",,"1344N 10030E",
,"TH","SAN","Sam Phran","Sam Phran","73","--3-----","RL","0307",,"1343N 10013E",
,"TH","SAO","Sadao Customs House","Sadao Customs House","90","-23-----","AA","1601",,"0633N 10025E",
,"TH","SAP","Samut Prakan","Samut Prakan","11","-----6--","RQ","1807",,"1336N 10036E",
,"TH","SAS","Samulsakom","Samulsakom","10","--3-----","RQ","0901",,,
,"TH","SAT","Sattahip","Sattahip","20","1-------","AA","2107",,"1238N 10055E",
,"TH","SAU","Samut Sakhon, Changwat","Samut Sakhon, Changwat","74","-23-----","RL","0407",,"1335N 10018E",
,"TH","SBI","Sara Buri","Sara Buri",,"--3-----","RL","0201",,"1430N 10055E",
